"Collection Name","Title#1","Title Type#1","Name#1","Name URI#1","Resource Type#1","Resource Type URI#1","Genre#1","Genre URI#1","Genre#2","Genre URI#2","Publisher#1","Date Created#1","Language Term#1","Language Term URI#1","Language Term Type#1","Extent#1","Form#1","Form URI#1","Form#2","Form URI#2","Form#3","Form URI#3","Abstract#1","Note#1","Note Type#1","Subject Topic#1","Subject Topic URI#1","Subject Topic#2","Subject Topic URI#2","Subject Topic#3","Subject Topic URI#3","Subject Topic#4","Subject Topic URI#4","Subject Topic#5","Subject Topic URI#5","Subject Topic#6","Subject Topic URI#6","Subject Topic#7","Subject Topic URI#7","Subject Name#1","Subject Name URI#1","Subject Name#10","Subject Name URI#10","Subject Name#11","Subject Name URI#11","Subject Name#2","Subject Name URI#2","Subject Name#3","Subject Name URI#3","Subject Name#4","Subject Name URI#4","Subject Name#5","Subject Name URI#5","Subject Name#6","Subject Name URI#6","Subject Name#7","Subject Name URI#7","Subject Name#8","Subject Name URI#8","Subject Name#9","Subject Name URI#9","Subject Geographic#1","Subject Geographic URI#1","Subject Geographic#2","Subject Geographic URI#2","Subject Geographic#3","Subject Geographic URI#3","Subject Geographic#4","Subject Geographic URI#4","Subject Geographic#5","Subject Geographic URI#5","Identifier#1","Identifier ARK#1","Shelf Locator#1","Related Item#1","Related Item Type#1","Related Item Identifier#1","Internet Media Type#1","Internet Media Type URI#1","Access Condition#1","Access Condition URI#1","ln_RECORDID","ln_MEDIAID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"University of Colorado Publicity Collections","Campus buildings, possibly around Kittredge Lake, unlabeled","Proper","University of Colorado Boulder","http://id.worldcat.org/fast/557277","Moving image","http://id.loc.gov/vocabulary/resourceTypes/mov","promotional materials","http://vocab.getty.edu/page/aat/300249572","sound films","http://vocab.getty.edu/page/aat/300417955","","Undated","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","1 film reel (16mm) (6 min., 13 sec.)","16mm (photographic film size)","http://vocab.getty.edu/page/aat/300263815","color film (film, material)","http://vocab.getty.edu/page/aat/300127339","open reel audiotapes","http://vocab.getty.edu/page/aat/300417312","A film with footage of the University of Colorado Boulder's campus buildings, possibly around Kittredge Lake, with brief shot of Fiske Planetarium. Includes flatirons and people walking, riding bikes.","00:00:00 Scenes of buildings on the University of Colorado Boulder's campus. 00:06:13 End of recording.","Segment sequence","College campuses","http://id.worldcat.org/fast/1740107","College buildings","http://id.worldcat.org/fast/867723","Architecture","http://id.worldcat.org/fast/813346","","","","","","","","","University of Colorado Boulder","http://id.worldcat.org/fast/557277","","","","","","","","","","","","","","","","","","","","","Boulder (Colorado, United States, North and Central America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013446","","","","","","","","","U183050995506_narv_loefflerWilliam_79_campusBuildings_a.mp4","https://ark.colorado.edu/ark:/47540/9s6p6t13f02z","","","","","video/mp4","https://www.iana.org/assignments/media-types/video/mp4","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","54","1255117","5395","U183050995506_narv_loefflerWilliam_79_campusBuildings_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/CUB~55~55~54~1255117"
"University of Colorado Publicity Collections","Campus views, unlabeled","Proper","University of Colorado Boulder","http://id.worldcat.org/fast/557277","Moving image","http://id.loc.gov/vocabulary/resourceTypes/mov","promotional materials","http://vocab.getty.edu/page/aat/300249572","sound films","http://vocab.getty.edu/page/aat/300417955","","[1978?]","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","1 film reel (16mm) (9 min., 50 sec.)","16mm (photographic film size)","http://vocab.getty.edu/page/aat/300263815","color film (film, material)","http://vocab.getty.edu/page/aat/300127339","open reel audiotapes","http://vocab.getty.edu/page/aat/300417312","A film with footage of the University of Colorado Boulder's campus buildings and flatirons.","00:00:00 Scenes of buildings on the University of Colorado Boulder's campus. 00:09:50 End of recording.","Segment sequence","College campuses","http://id.worldcat.org/fast/1740107","College buildings","http://id.worldcat.org/fast/867723","Architecture","http://id.worldcat.org/fast/813346","","","","","","","","","University of Colorado Boulder","http://id.worldcat.org/fast/557277","","","","","","","","","","","","","","","","","","","","","Boulder (Colorado, United States, North and Central America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013446","","","","","","","","","U183050995807_narv_loefflerWilliam_88_campusViews_a.mp4","https://ark.colorado.edu/ark:/47540/jp8z3b74w632","","","","","video/mp4","https://www.iana.org/assignments/media-types/video/mp4","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","56","1255113","5395","U183050995807_narv_loefflerWilliam_88_campusViews_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/CUB~55~55~56~1255113"
"University of Colorado Publicity Collections","Champions of Industry: University of Colorado at Boulder","Proper","University of Colorado Boulder","http://id.worldcat.org/fast/557277","Moving image","http://id.loc.gov/vocabulary/resourceTypes/mov","promotional materials","http://vocab.getty.edu/page/aat/300249572","","","","[Undated]","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","1 videocassette (VHS) (6 min., 33 sec.)","videocassettes","http://vocab.getty.edu/page/aat/300028692","VHS","http://vocab.getty.edu/page/aat/300264683","","","An informational video titled ""Champions of Industry"" by the University of Colorado at Boulder to showcase life and academics at the university through the perspectives (testimonials) of professors, administration, and students.","00:00:01 Champions. Industry. 00:00:14 Champions of Industry. 00:00:17 Pat Summerall talking about CU Boulder. 00:00:50 Aerial footage of CU Boulder. 00:00:54 Richard L. Byyny Chancellor University of Colorado Boulder. 00:01:05 CU Boulder history. 00:01:17 Byyny and Narrator discusses opportunities for students at CU Boulder. Interspersed are student testimonials. 00:02:12 The narrator discusses teachers: Elaine Hansen Director Colorado Space Grant Consortium, Carl Wieman Nobel Prize Recipient and Professor, Jim White Director Environmental Studies. 00:03:15 Narrator discusses cross disciplinary support at CU Boulder. Testimonials from: Charles Wilkinson Professor of Law, Kendra Kilbride Sophomore Aerospace Engineering. 00:04:25 Narrator discusses CU Boulder and alumni who became astronauts. Testimonials from: Jim White, Jen Micheles Senior Electrical Engineering. 00:04:58 Narrator discusses student life and sports at CU Boulder. 00:05:29 Byyny discusses CU Boulders desire to be the best. 00:05:56 Colorado University of Colorado at Boulder www.colorado.edu. 00:06:00 Pat Summerall concludes the video. 00:06:33 End of recording.","","College students","http://id.worldcat.org/fast/867976","College teachers","http://id.worldcat.org/fast/868114","Academic programs","local","College sports","http://id.worldcat.org/fast/867925","Student activities","http://id.worldcat.org/fast/1135799","Aerospace engineering","http://id.worldcat.org/fast/798623","Astronauts","http://id.worldcat.org/fast/819615","University of Colorado Boulder","http://id.worldcat.org/fast/557277","","","","","Summerall, Pat","http://id.worldcat.org/fast/1457384","Byyny , Richard L.","local","","","","","","","","","","","","","Boulder (Colorado, United States, North and Central America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013446","Flatirons, The (Boulder, Colorado, United States, North and Central America) (peak)","http://vocab.getty.edu/page/tgn/2331368","","","","","","","U183071321291_narv_publicityOffices_32-27_championsOfIndustry_a.mp4","https://ark.colorado.edu/ark:/47540/vt6d7608v0wh","pascal | 32 | 32-27","","","","video/mp4","https://www.iana.org/assignments/media-types/video/mp4","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","44","1255072","5385","U183071321291_narv_publicityOffices_32-27_championsOfIndustry_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/CUB~55~55~44~1255072"
"University of Colorado Publicity Collections","Chancellor's Scoreboard Message / Admission Video","Proper","University of Colorado Boulder","http://id.worldcat.org/fast/557277","Moving image","http://id.loc.gov/vocabulary/resourceTypes/mov","promotional materials","http://vocab.getty.edu/page/aat/300249572","","","Downey Communications, Inc.","[Undated]","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","1 videocassette (Betacam) (13 min., 10 sec.)","videocassettes","http://vocab.getty.edu/page/aat/300028692","Betacam-SP","http://vocab.getty.edu/page/aat/300264687","","","An informational video titled ""Minds to Match our Mountains The University of Colorado at Boulder. Bound for Colorado"" by the University of Colorado at Boulder to showcase life and academics at the university through the perspectives (testimonials) of professors, administration, and students.","00:00:00 Helical Denver 00:00:11 Colorado 00:00:18 Chancellor Richard Byyny introduces CU Boulder technological advancements. 00:00:56 Colorado. 54 Peaks 14,000 ft. 00:01:07 Student testimonials about classes, majors, and extracurriculars. 00:02:12 Minds to Match our Mountains The University of Colorado at Boulder. Bound for Colorado. 00:02:19 Dennis Van Gerven Professor. 00:02:35 Narrator discusses CU Boulders 50 Degrees Programs and its Total Learning Environment. 00:04:12 Professor Gerven. 00:04:33 Narrator discusses student life interspersed with student testimonials. 00:05:32 The narrator discusses CU Boulder history compared to contemporary CU Boulder. They discuss the Presidents Leadership Class, Honors Programs, and the Minority Arts and Sciences Program (MASP). 00:06:44 Undergraduate Research Opportunities Program (UROP). 00:08:16 Student life at CU Boulder. 00:08:57 Sports at CU Boulder. 00:09:30 Off-campus activities. 00:10:18 CU Boulder teachers. 00:11:53 Narrator concludes video discussions about CU Boulder and the surrounding Boulder, Colorado area. 00:12:47 Minds to Match our Mountains The University of Colorado at Boulder. 00:12:52 CU-Boulder (303)492-6301 Office of Admissions University of Colorado at Boulder Campus Box 30 Boulder, CO 80309-0030. www.colorado.edu/admissions. 00:13:06 Produced by Downey Communications, Inc. Boulder, Colorado. 00:13:10 End of recording.","","College students","http://id.worldcat.org/fast/867976","College teachers","http://id.worldcat.org/fast/868114","College sports","http://id.worldcat.org/fast/867925","Student activities","http://id.worldcat.org/fast/1135799","Academic programs","local","","","","","University of Colorado Boulder","http://id.worldcat.org/fast/557277","","","","","Van Gerven, Dennis","local","Cech, Thomas","http://id.worldcat.org/fast/205496","","","","","","","","","","","","","Boulder (Colorado, United States, North and Central America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013446","Flatirons, The (Boulder, Colorado, United States, North and Central America) (peak)","http://vocab.getty.edu/page/tgn/2331368","","","","","","","U183071320261_narv_publicityOffices_25-16_boundForColorado_a.mp4","https://ark.colorado.edu/ark:/47540/323d5289g2t3","pascal | 25 | 25-16","","","","video/mp4","https://www.iana.org/assignments/media-types/video/mp4","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","40","1255076","5385","U183071320261_narv_publicityOffices_25-16_boundForColorado_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/CUB~55~55~40~1255076"
"University of Colorado Publicity Collections","Cheerleaders","Proper","University of Colorado Boulder","http://id.worldcat.org/fast/557277","Moving image","http://id.loc.gov/vocabulary/resourceTypes/mov","promotional materials","http://vocab.getty.edu/page/aat/300249572","silent films","http://vocab.getty.edu/page/aat/300252071","","1971","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","1 film reel (16mm) (1 min., 30 sec.)","16mm (photographic film size)","http://vocab.getty.edu/page/aat/300263815","color film (film, material)","http://vocab.getty.edu/page/aat/300127339","","","A collection of slow-motion clips of cheerleaders doing flips.","00:00:00 Slow motion clips of pom poms and cheerleaders performing flips. 00:01:30 End of recording.","Segment sequence","Cheerleaders","http://id.worldcat.org/fast/1981902","Cheerleading","http://id.worldcat.org/fast/852722","","","","","","","","","","","University of Colorado Boulder","http://id.worldcat.org/fast/557277","","","","","","","","","","","","","","","","","","","","","Boulder (Colorado, United States, North and Central America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013446","","","","","","","","","U183050999314_narv_publicityOffices_13-38_cheerleaders_a.mp4","https://ark.colorado.edu/ark:/47540/qh9q8b13k3sx","","","","","video/mp4","https://www.iana.org/assignments/media-types/video/mp4","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","59","1255105","5395","U183050999314_narv_publicityOffices_13-38_cheerleaders_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/CUB~55~55~59~1255105"
"University of Colorado Publicity Collections","Cheerleaders","Proper","University of Colorado Boulder","http://id.worldcat.org/fast/557277","Moving image","http://id.loc.gov/vocabulary/resourceTypes/mov","promotional materials","http://vocab.getty.edu/page/aat/300249572","silent films","http://vocab.getty.edu/page/aat/300252071","","1971","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","1 film reel (16mm) (1 min., 2 sec.)","16mm (photographic film size)","http://vocab.getty.edu/page/aat/300263815","color film (film, material)","http://vocab.getty.edu/page/aat/300127339","","","A collection of slow-motion clips of cheerleaders doing flips.","00:00:00 Slow motion clips of pom poms and cheerleaders performing flips. 00:01:02 End of recording.","Segment sequence","Cheerleaders","http://id.worldcat.org/fast/1981902","Cheerleading","http://id.worldcat.org/fast/852722","","","","","","","","","","","University of Colorado Boulder","http://id.worldcat.org/fast/557277","","","","","","","","","","","","","","","","","","","","","Boulder (Colorado, United States, North and Central America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013446","","","","","","","","","U183051004691_narv_publicityOffices_20-45_cheerleaders_a.mp4","https://ark.colorado.edu/ark:/47540/4p8b9g60d702","","","","","video/mp4","https://www.iana.org/assignments/media-types/video/mp4","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","61","1255101","5395","U183051004691_narv_publicityOffices_20-45_cheerleaders_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/CUB~55~55~61~1255101"
"University of Colorado Publicity Collections","Choosing Colorado","Proper","University of Colorado Boulder","http://id.worldcat.org/fast/557277","Moving image","http://id.loc.gov/vocabulary/resourceTypes/mov","promotional materials","http://vocab.getty.edu/page/aat/300249572","","","Downey Communications, Inc.","[Undated]","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","1 videocassette (VHS) (12 min., 17 sec.)","videocassettes","http://vocab.getty.edu/page/aat/300028692","VHS","http://vocab.getty.edu/page/aat/300264683","","","An informational video titled ""Minds to Match our Mountains The University of Colorado at Boulder. Bound for Colorado"" by the University of Colorado at Boulder to showcase life and academics at the university through the perspectives (testimonials) of professors, administration, and students.","00:00:02 Colorado. 00:00:08 54 peaks. 14,000 ft. 00:00:13 Student testimonials about classes, majors, and extracurriculars. 00:01:17 Minds to Match our Mountains The University of Colorado at Boulder. Choosing Colorado. 00:01:29 Dennis Van Gerven Professor. 00:01:44 Narrator discusses CU Boulders 50 Degrees Programs and it's Total Learning Environment. 00:03:24 Professor Gerven. 00:03:37 Narrator discusses student life interspersed with student testimonials. 00:04:37 The narrator discusses CU Boulder history compared to contemporary CU Boulder. They discuss the Presidents Leadership Class, Honors Programs, and the Minority Arts and Sciences Program (MASP). 00:05:47 Undergraduate Research Opportunities Program (UROP), Entrepreneurship, Information Technology, The Environment, Bachelors/Masters. 00:07:22 Student life at CU Boulder. 00:08:02 Sports at CU Boulder. 00:08:31 Off-campus activities. 00:09:20 CU Boulder teachers. 00:10:55 Narrator concludes video and discusses CU Boulder and the surrounding Boulder, Colorado area. 00:11:54 Minds to Match our Mountains The University of Colorado at Boulder. 00:12:00 CU-Boulder (303)492-6301 Office of Admissions University of Colorado at Boulder Campus Box 30 Boulder, CO 80309-0030. ww.colorado.edu/admissions. 00:12:10 Produced by Downey Communications, Inc. Boulder, Colorado. 00:12:17 End of recording.","","College students","http://id.worldcat.org/fast/867976","College teachers","http://id.worldcat.org/fast/868114","College sports","http://id.worldcat.org/fast/867925","Student activities","http://id.worldcat.org/fast/1135799","Academic programs","local","","","","","University of Colorado Boulder","http://id.worldcat.org/fast/557277","","","","","Van Gerven, Dennis","local","Cech, Thomas","http://id.worldcat.org/fast/205496","","","","","","","","","","","","","Boulder (Colorado, United States, North and Central America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013446","Flatirons, The (Boulder, Colorado, United States, North and Central America) (peak)","http://vocab.getty.edu/page/tgn/2331368","","","","","","","U183071320546_narv_publicityOffices_25-17_choosingColorado_a.mp4","https://ark.colorado.edu/ark:/47540/2h8v7q35s3mm","pascal | 25 | 25-17","","","","video/mp4","https://www.iana.org/assignments/media-types/video/mp4","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","43","1255073","5385","U183071320546_narv_publicityOffices_25-17_choosingColorado_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/CUB~55~55~43~1255073"
"University of Colorado Publicity Collections","College of Business and Administration: Message from the Dean","Proper","University of Colorado Boulder","http://id.worldcat.org/fast/557277","Moving image","http://id.loc.gov/vocabulary/resourceTypes/mov","promotional materials","http://vocab.getty.edu/page/aat/300249572","","","","1995-08","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","1 videocassette (VHS) (9 min., 9 sec.)","videocassettes","http://vocab.getty.edu/page/aat/300028692","VHS","http://vocab.getty.edu/page/aat/300264683","","","An informational video by the University of Colorado at Boulder to showcase life and academics at the University College of Business & Administration Graduate School of Business & Administration with testimonials from business leaders.","00:00:01 The University of Colorado at Boulder College of Business & Administration Graduate School of Business & Administration. 00:00:32 Larry D. Singell Dean. 00:00:51 Three Initiatives: Entrepreneurship, The MBA Program, The Undergraduate Program. 00:02:21 Profiles in American Enterprise. 00:03:17 ""Education is not the filling of a pail, but the lightening of a fire."" -Willian Butler Yeats. 00:03:30 P. Testimonials from John Lymberopoulos Associate Dean, Ronald G. Billingsley Student Leadership, Jacqueline J. Mohr Marketing Faculty, David Glass CEO Wal-Mart, Carl Willis VP AT&T GBCS, William Smithburg CEO QuakerOats, Jon Madonna CEO KPMG Pear Warwick, Alan Hassenfeld CEO Hasbro Toys, Robert Eaton CEO Chrysler Corporation, Pat Russo CEO ST&T GBCS, Randall McDonald VP GTE, John J. Garnand Business Economics Faculty, Craig Weatherup CEO Pepsi-Cola and others about the Profiles in American Enterprise program. 00:07:20 Marcia Pryde CU Business Alumna discusses funding for the College of Business at CU Boulder. 00:09:09 End of recording.","","Academic programs","local","Universities and colleges--Administration","http://id.worldcat.org/fast/1161604","Business schools","http://id.worldcat.org/fast/842884","Fund raising","http://id.worldcat.org/fast/936143","","","","","","","University of Colorado Boulder","http://id.worldcat.org/fast/557277","","","","","Singell, Larry D.","local","Lymberopoulos, John","local","Billingsley, Ronald G.","local","Mohr, Jacqueline J.","local","","","","","","","","","Boulder (Colorado, United States, North and Central America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013446","","","","","","","","","U183071322239_narv_publicityOffices_49-AC-515_businessCollegeDean_a.mp4","https://ark.colorado.edu/ark:/47540/pc066r08v0c7","pascal | 49 | AC-515","","","","video/mp4","https://www.iana.org/assignments/media-types/video/mp4","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","45","1255071","5385","U183071322239_narv_publicityOffices_49-AC-515_businessCollegeDean_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/CUB~55~55~45~1255071"
"University of Colorado Publicity Collections","Colorado Space Education Initiative, PSA","Proper","University of Colorado Boulder","http://id.worldcat.org/fast/557277","Moving image","http://id.loc.gov/vocabulary/resourceTypes/mov","promotional materials","http://vocab.getty.edu/page/aat/300249572","","","","[1994]","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","1 videocassette (VHS) (2 min., 9 sec.)","videocassettes","http://vocab.getty.edu/page/aat/300028692","VHS","http://vocab.getty.edu/page/aat/300264683","","","A promotional video for the University of Colorado at Boulder's Colorado Space Education Initiative.","00:00:00 Colorado Space Initiative. 00:00:49 Colorado Space Education Initiative. 00:01:26 Colorado Space Initiative. 00:01:57 Colorado Space Education Initiative. Teachers Workshops. Resource Materials. Student Competitions. 00:02:09 End of recording.","","Space sciences","http://id.worldcat.org/fast/1127807","Universities and colleges--Faculty","http://id.worldcat.org/fast/1161748","Research institutes","http://id.worldcat.org/fast/1095299","","","","","","","","","University of Colorado Boulder","http://id.worldcat.org/fast/557277","","","","","","","","","","","","","","","","","","","","","Boulder (Colorado, United States, North and Central America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013446","","","","","","","","","U183071324419_narv_publicityOffices_31-AC-475_coloradoSpaceInitiative_a.mp4","https://ark.colorado.edu/ark:/47540/rx1n2m92z6b5","pascal | 31 | AC-475","","","","video/mp4","https://www.iana.org/assignments/media-types/video/mp4","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","52","1255085","5385","U183071324419_narv_publicityOffices_31-AC-475_coloradoSpaceInitiative_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/CUB~55~55~52~1255085"
"University of Colorado Publicity Collections","Continuing Education Promo","Proper","University of Colorado Boulder","http://id.worldcat.org/fast/557277","Moving image","http://id.loc.gov/vocabulary/resourceTypes/mov","promotional materials","http://vocab.getty.edu/page/aat/300249572","","","","1990","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","1 videocassette (VHS) (12 min., 40 sec.)","videocassettes","http://vocab.getty.edu/page/aat/300028692","VHS","http://vocab.getty.edu/page/aat/300264683","","","An informational video by the University of Colorado at Boulder to showcase a variety of programs at the university through the perspectives (testimonials) of professors, administration, and students.","00:00:02 Psychology. 00:00:25 Geography. 00:00:33 Spanish. 00:00:48 Sign Language. 00:00:58 Narrator discusses CU Boulders' Division of Continuing Education. 00:01:39 Sandy Fuller, Instructor. 00:01:49 Dr. Patrick Vann, Instructor. 00:02:33 Larry Fisher, Student. 00:02:56 Dale Willard, Student. 00:03:18 Allison Graves, Student. 00:03:50 Management Development Certificate Program. Charles Rice, Instructor. 00:04:32 Real estate Professional Training Program. Warren Jamieson, Graduate, Real Estate Program. 00:04:58 Certificate in Computer Applications. John R-Baugh, Computer Design Student. Peggy Purvis, Instructor. 00:05:39 The Center for Advanced Training in Engineering and Computer Science. 00:06:13 Video Teleconferencing. Becky Dunning, Dir., Video Teleconference Program. 00:06:58 Margaret Hanton, Correspondence Student. 00:07:17 Non-Credit Courses: American Sign Language, Photography, Children's books. Sandy Fuller, Instructor. Landscaping. Andy Mead, Instructor. Spanish. Judge Richard McClean Spanish Student. Elizabeth Medina, Instructor. 00:09:48 Health and Nutrition courses. Peggy Phillios, Instructor. Maria Rodgers, Student. 00:10:35 Health Path Continuing Education Program. 00:11:17 International English Center. 00:11:38 Astronomy. 00:11:52 Real Estate. 00:11:57 Illustrating Children?s Books. 00:12:10 Division of Continuing Education. 303-492-5145. 00:12:40 End of recording.","","College students","http://id.worldcat.org/fast/867976","College teachers","http://id.worldcat.org/fast/868114","Academic programs","local","Continuing education","http://id.worldcat.org/fast/876705","Career development","http://id.worldcat.org/fast/847280","","","","","University of Colorado Boulder","http://id.worldcat.org/fast/557277","","","","","","","","","","","","","","","","","","","","","Boulder (Colorado, United States, North and Central America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013446","","","","","","","","","U183071320318_narv_publicityOffices_25-01_continuingEducation_a.mp4","https://ark.colorado.edu/ark:/47540/qp4g5h70913j","pascal | 25 | 25-01","","","","video/mp4","https://www.iana.org/assignments/media-types/video/mp4","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","41","1255075","5385","U183071320318_narv_publicityOffices_25-01_continuingEducation_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/CUB~55~55~41~1255075"
